country,date,total_vaccinations,fully_vaccinated,daily_vaccinations,vaccines
Portugal,2021-01-22,212000,,15143,Pfizer/BioNTech
Portugal,2021-01-23,232725,,15940,Pfizer/BioNTech
Portugal,2021-01-24,,,15242,Pfizer/BioNTech
Portugal,2021-01-25,,,14545,Pfizer/BioNTech
Portugal,2021-01-26,263499,38000,13847,Pfizer/BioNTech
Portugal,2021-01-27,278413,,13814,Pfizer/BioNTech
Portugal,2021-01-28,296004,,14164,Pfizer/BioNTech
Portugal,2021-01-29,315737,,14820,Pfizer/BioNTech
Portugal,2021-01-30,330233,,13930,Pfizer/BioNTech
Portugal,2021-01-31,336771,68385,13398,Pfizer/BioNTech
Romania,2020-12-28,2066,,,Pfizer/BioNTech
Romania,2020-12-29,2778,,712,Pfizer/BioNTech
Romania,2020-12-30,5666,,1800,Pfizer/BioNTech
Romania,2020-12-31,10289,,2741,Pfizer/BioNTech
Romania,2021-01-01,11656,,2398,Pfizer/BioNTech
Romania,2021-01-02,13242,,2235,Pfizer/BioNTech
Romania,2021-01-03,13596,,1922,Pfizer/BioNTech
Romania,2021-01-04,25508,,3349,Pfizer/BioNTech
Romania,2021-01-05,41609,,5547,Pfizer/BioNTech
Romania,2021-01-06,58554,,7555,Pfizer/BioNTech
Romania,2021-01-07,76400,,9444,Pfizer/BioNTech
Romania,2021-01-08,92706,,11579,Pfizer/BioNTech
Romania,2021-01-09,102301,,12723,Pfizer/BioNTech
Romania,2021-01-10,108294,,13528,Pfizer/BioNTech
Romania,2021-01-11,125190,,14240,Pfizer/BioNTech
Romania,2021-01-12,140447,,14120,Pfizer/BioNTech
Romania,2021-01-13,154268,,13673,Pfizer/BioNTech
Romania,2021-01-14,167612,,13030,Pfizer/BioNTech
Romania,2021-01-15,183669,,12995,Pfizer/BioNTech
Romania,2021-01-16,196090,,13398,Pfizer/BioNTech
Romania,2021-01-17,205060,875,13824,Pfizer/BioNTech
Romania,2021-01-18,235239,1951,15721,Pfizer/BioNTech
Romania,2021-01-19,270046,2622,18514,Pfizer/BioNTech
Romania,2021-01-20,308384,5814,22017,Pfizer/BioNTech
Romania,2021-01-21,348096,9844,25783,Pfizer/BioNTech
Romania,2021-01-22,385936,11255,28895,Pfizer/BioNTech
Romania,2021-01-23,418885,12879,31828,Pfizer/BioNTech
Romania,2021-01-24,446285,13156,34461,Pfizer/BioNTech
Romania,2021-01-25,484631,25064,35627,Pfizer/BioNTech
Romania,2021-01-26,528378,40667,36905,Pfizer/BioNTech
Romania,2021-01-27,570704,57275,37474,Pfizer/BioNTech
Romania,2021-01-28,609396,75050,37329,Pfizer/BioNTech
Romania,2021-01-29,647000,92076,37295,Pfizer/BioNTech
Romania,2021-01-30,672396,101305,36216,Pfizer/BioNTech
Romania,2021-01-31,691415,106197,35019,Pfizer/BioNTech
Russia,2020-12-15,28500,,,Sputnik V
Russia,2020-12-16,,,3357,Sputnik V
Russia,2020-12-17,,,3357,Sputnik V
Russia,2020-12-18,,,3357,Sputnik V
Russia,2020-12-19,,,3357,Sputnik V
Russia,2020-12-20,,,3357,Sputnik V
Russia,2020-12-21,,,3357,Sputnik V
Russia,2020-12-22,52000,,3357,Sputnik V
Russia,2020-12-23,,,12592,Sputnik V
Russia,2020-12-24,,,21827,Sputnik V
Russia,2020-12-25,,,31061,Sputnik V
Russia,2020-12-26,,,40296,Sputnik V
Russia,2020-12-27,,,49531,Sputnik V
Russia,2020-12-28,,,58765,Sputnik V
Russia,2020-12-29,,,68000,Sputnik V
Russia,2020-12-30,,,68000,Sputnik V
Russia,2020-12-31,,,68000,Sputnik V
Russia,2021-01-01,,,68000,Sputnik V
Russia,2021-01-02,800000,,68000,Sputnik V
Russia,2021-01-03,,,60883,Sputnik V
Russia,2021-01-04,,,53766,Sputnik V
Russia,2021-01-05,,,46649,Sputnik V
Russia,2021-01-06,,,39532,Sputnik V
Russia,2021-01-07,,,32416,Sputnik V
Russia,2021-01-08,,,25299,Sputnik V
Russia,2021-01-09,,,18182,Sputnik V
Russia,2021-01-10,,,18182,Sputnik V
Russia,2021-01-11,,,18182,Sputnik V
Russia,2021-01-12,,,18182,Sputnik V
Russia,2021-01-13,1000000,,18182,Sputnik V
Saudi Arabia,2021-01-06,100000,,,Pfizer/BioNTech
Saudi Arabia,2021-01-07,137862,,37862,Pfizer/BioNTech
Saudi Arabia,2021-01-08,,,23990,Pfizer/BioNTech
Saudi Arabia,2021-01-09,,,19366,Pfizer/BioNTech
Saudi Arabia,2021-01-10,,,17055,Pfizer/BioNTech
Saudi Arabia,2021-01-11,178337,,15667,Pfizer/BioNTech
Saudi Arabia,2021-01-12,,,16312,Pfizer/BioNTech
Saudi Arabia,2021-01-13,,,16772,Pfizer/BioNTech
Saudi Arabia,2021-01-14,,,14153,Pfizer/BioNTech
Saudi Arabia,2021-01-15,,,15498,Pfizer/BioNTech
Saudi Arabia,2021-01-16,,,16843,Pfizer/BioNTech
Saudi Arabia,2021-01-17,295530,,18187,Pfizer/BioNTech
Saudi Arabia,2021-01-18,,,17886,Pfizer/BioNTech
Saudi Arabia,2021-01-19,,,16240,Pfizer/BioNTech
Saudi Arabia,2021-01-20,,,14594,Pfizer/BioNTech
Saudi Arabia,2021-01-21,,,12948,Pfizer/BioNTech
Saudi Arabia,2021-01-22,,,11302,Pfizer/BioNTech
Saudi Arabia,2021-01-23,,,9656,Pfizer/BioNTech
Saudi Arabia,2021-01-24,,,8009,Pfizer/BioNTech
Saudi Arabia,2021-01-25,,,8009,Pfizer/BioNTech
Saudi Arabia,2021-01-26,,,8009,Pfizer/BioNTech
Saudi Arabia,2021-01-27,,,8009,Pfizer/BioNTech
Saudi Arabia,2021-01-28,,,8009,Pfizer/BioNTech
Saudi Arabia,2021-01-29,391643,,8009,Pfizer/BioNTech
Scotland,2020-12-13,18967,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-14,,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-15,,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-16,,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-17,,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-18,,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-19,,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-20,59832,,5838,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-21,,,5705,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-22,,,5572,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-23,,,5438,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-24,,,5305,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-25,,,5172,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-26,,,5039,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-27,94173,,4906,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-28,,,4641,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-29,,,4376,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-30,,,4111,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2020-12-31,,,3846,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-01,,,3581,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-02,,,3316,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-03,115533,44,3051,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-04,,,3648,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-05,,,4245,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-06,,,4842,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-07,,,5439,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-08,,,6035,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-09,,,6632,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-10,166135,2758,7229,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-11,178799,2857,8005,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-12,194955,2990,9281,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-13,211397,3190,10597,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-14,228171,3331,11960,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-15,,,12857,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-16,,,13754,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-17,268689,3698,14651,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-18,288468,3886,15667,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-19,314079,4170,17018,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-20,339337,4466,18277,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-21,363143,4689,19282,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-22,385855,5188,20597,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-23,409421,5383,22034,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-24,420940,5538,21750,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-25,443960,6060,22213,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-26,468688,6596,22087,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-27,498441,6783,22729,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-28,522950,7095,22830,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-29,551008,7638,23593,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,2021-01-30,574063,7794,23520,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,2021-01-08,7000,,,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-09,,,1150,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-10,9300,,1150,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-11,,,1503,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-12,,,1680,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-13,,,1785,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-14,18136,,1856,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-15,,,2221,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-16,,,2687,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-17,,,3153,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-18,,,3468,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-19,,,3783,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-20,44611,,4098,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-21,84832,,9528,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-22,119711,,13880,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-23,163355,,19485,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-24,217800,,26632,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-25,256521,,31534,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-26,319504,,39901,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-27,361830,,45317,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-28,401556,,45246,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-29,430759,,44435,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Serbia,2021-01-30,437380,,39146,"Pfizer/BioNTech, Sinopharm, Sputnik V"
Seychelles,2021-01-09,0,,,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-10,,,500,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-11,,,500,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-12,,,500,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-13,2000,,500,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-14,,,600,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-15,4000,,667,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-16,7000,,1000,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-17,,,1118,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-18,,,1236,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-19,10976,,1354,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-20,13163,,1595,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-21,,,1718,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-22,16890,,1841,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-23,18353,,1622,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-24,,,1542,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-25,19889,,1463,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-26,20650,,1382,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-27,25587,,1775,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-28,28779,,1965,"Oxford/AstraZeneca, Sinopharm"
Seychelles,2021-01-29,30861,,1996,"Oxford/AstraZeneca, Sinopharm"
Singapore,2021-01-11,3400,,,Pfizer/BioNTech
Singapore,2021-01-12,6200,,2800,Pfizer/BioNTech
Singapore,2021-01-13,,,4090,Pfizer/BioNTech
Singapore,2021-01-14,,,4520,Pfizer/BioNTech
Singapore,2021-01-15,,,4735,Pfizer/BioNTech
Singapore,2021-01-16,,,4864,Pfizer/BioNTech
Singapore,2021-01-17,,,4950,Pfizer/BioNTech
Singapore,2021-01-18,,,5011,Pfizer/BioNTech
Singapore,2021-01-19,,,5380,Pfizer/BioNTech
Singapore,2021-01-20,,,5380,Pfizer/BioNTech
Singapore,2021-01-21,,,5380,Pfizer/BioNTech
Singapore,2021-01-22,60000,,5380,Pfizer/BioNTech
Singapore,2021-01-23,,,5875,Pfizer/BioNTech
Singapore,2021-01-24,,,6369,Pfizer/BioNTech
Singapore,2021-01-25,,,6864,Pfizer/BioNTech
Singapore,2021-01-26,,,7358,Pfizer/BioNTech
Singapore,2021-01-27,,,7853,Pfizer/BioNTech
Singapore,2021-01-28,113050,50,8347,Pfizer/BioNTech
Slovakia,2021-01-04,0,,,Pfizer/BioNTech
Slovakia,2021-01-05,425,,425,Pfizer/BioNTech
Slovakia,2021-01-06,6618,,3309,Pfizer/BioNTech
Slovakia,2021-01-07,13631,,4544,Pfizer/BioNTech
Slovakia,2021-01-08,20548,,5137,Pfizer/BioNTech
Slovakia,2021-01-09,22281,,4456,Pfizer/BioNTech
Slovakia,2021-01-10,25326,,4221,Pfizer/BioNTech
Slovakia,2021-01-11,29221,,4174,Pfizer/BioNTech
Slovakia,2021-01-12,39735,,5616,Pfizer/BioNTech
Slovakia,2021-01-13,46243,,5661,Pfizer/BioNTech
Slovakia,2021-01-14,53830,,5743,Pfizer/BioNTech
Slovakia,2021-01-15,61372,,5832,Pfizer/BioNTech
Slovakia,2021-01-16,62580,,5757,Pfizer/BioNTech
Slovakia,2021-01-17,62634,,5330,Pfizer/BioNTech
Slovakia,2021-01-18,71617,582,6057,Pfizer/BioNTech
Slovakia,2021-01-19,78663,1039,5561,Pfizer/BioNTech
Slovakia,2021-01-20,85957,1900,5673,Pfizer/BioNTech
Slovakia,2021-01-21,92828,2544,5571,Pfizer/BioNTech
Slovakia,2021-01-22,99090,2669,5388,Pfizer/BioNTech
Slovakia,2021-01-23,99366,2669,5255,Pfizer/BioNTech
Slovakia,2021-01-24,99366,2669,5247,Pfizer/BioNTech
Slovakia,2021-01-25,102683,4823,4438,Pfizer/BioNTech
Slovakia,2021-01-26,109198,5205,4362,Pfizer/BioNTech
Slovakia,2021-01-27,115770,5475,4259,Pfizer/BioNTech
Slovakia,2021-01-28,124034,6983,4458,Pfizer/BioNTech
Slovakia,2021-01-29,133111,9315,4860,Pfizer/BioNTech
Slovakia,2021-01-30,134092,9318,4961,Pfizer/BioNTech
Slovenia,2021-01-03,5934,,,Pfizer/BioNTech
Slovenia,2021-01-04,7204,,1270,Pfizer/BioNTech
Slovenia,2021-01-05,8901,,1484,Pfizer/BioNTech
Slovenia,2021-01-06,12265,,2110,Pfizer/BioNTech
Slovenia,2021-01-07,16339,,2601,Pfizer/BioNTech
Slovenia,2021-01-08,19523,,2718,Pfizer/BioNTech
Slovenia,2021-01-09,19930,,2333,Pfizer/BioNTech
Slovenia,2021-01-10,20546,,2087,Pfizer/BioNTech
Slovenia,2021-01-11,22484,,2183,Pfizer/BioNTech
Slovenia,2021-01-12,24462,,2223,Pfizer/BioNTech
Slovenia,2021-01-13,29561,,2471,Pfizer/BioNTech
Slovenia,2021-01-14,35159,,2689,Pfizer/BioNTech
Slovenia,2021-01-15,40778,,3036,Pfizer/BioNTech
Slovenia,2021-01-16,41439,,3073,Pfizer/BioNTech
Slovenia,2021-01-17,42035,,3070,Pfizer/BioNTech
Slovenia,2021-01-18,43081,,2942,Pfizer/BioNTech
Slovenia,2021-01-19,43869,,2772,Pfizer/BioNTech
Slovenia,2021-01-20,46467,,2415,Pfizer/BioNTech
Slovenia,2021-01-21,52098,5631,2420,Pfizer/BioNTech
Slovenia,2021-01-22,54839,6669,2009,Pfizer/BioNTech
Slovenia,2021-01-23,55680,6963,2034,Pfizer/BioNTech
Slovenia,2021-01-24,55978,7121,1992,Pfizer/BioNTech
Slovenia,2021-01-25,57591,7847,2073,Pfizer/BioNTech
Slovenia,2021-01-26,60979,9851,2444,Pfizer/BioNTech
Slovenia,2021-01-27,64972,13319,2644,Pfizer/BioNTech
Slovenia,2021-01-28,70940,18726,2692,Pfizer/BioNTech
Slovenia,2021-01-29,75756,22830,2988,Pfizer/BioNTech
Slovenia,2021-01-30,75977,23035,2900,Pfizer/BioNTech
Spain,2021-01-04,82834,,,"Moderna, Pfizer/BioNTech"
Spain,2021-01-05,139339,,56505,"Moderna, Pfizer/BioNTech"
Spain,2021-01-06,,,45248,"Moderna, Pfizer/BioNTech"
Spain,2021-01-07,207323,,41496,"Moderna, Pfizer/BioNTech"
Spain,2021-01-08,277976,,48786,"Moderna, Pfizer/BioNTech"
Spain,2021-01-09,,,47569,"Moderna, Pfizer/BioNTech"
Spain,2021-01-10,,,46759,"Moderna, Pfizer/BioNTech"
Spain,2021-01-11,406091,,46180,"Moderna, Pfizer/BioNTech"
Spain,2021-01-12,488122,,49826,"Moderna, Pfizer/BioNTech"
Spain,2021-01-13,581638,,58330,"Moderna, Pfizer/BioNTech"
Spain,2021-01-14,676186,,66980,"Moderna, Pfizer/BioNTech"
Spain,2021-01-15,768950,,70139,"Moderna, Pfizer/BioNTech"
Spain,2021-01-16,,,70181,"Moderna, Pfizer/BioNTech"
Spain,2021-01-17,,,70223,"Moderna, Pfizer/BioNTech"
Spain,2021-01-18,897942,2315,70264,"Moderna, Pfizer/BioNTech"
Spain,2021-01-19,966097,9341,68282,"Moderna, Pfizer/BioNTech"
Spain,2021-01-20,1025937,15642,63471,"Moderna, Pfizer/BioNTech"
Spain,2021-01-21,1103301,49056,61016,"Moderna, Pfizer/BioNTech"
Spain,2021-01-22,1165825,68456,56696,"Moderna, Pfizer/BioNTech"
Spain,2021-01-23,,,55680,"Moderna, Pfizer/BioNTech"
Spain,2021-01-24,1237593,88698,54664,"Moderna, Pfizer/BioNTech"
Spain,2021-01-25,1291216,123697,56182,"Moderna, Pfizer/BioNTech"
Spain,2021-01-26,1356461,173066,55766,"Moderna, Pfizer/BioNTech"
Spain,2021-01-27,1395618,192759,52812,"Moderna, Pfizer/BioNTech"
Spain,2021-01-28,1474189,251866,52984,"Moderna, Pfizer/BioNTech"
Sri Lanka,2021-01-28,0,,,Oxford/AstraZeneca
Sri Lanka,2021-01-29,5286,,5286,Oxford/AstraZeneca
Sri Lanka,2021-01-30,37825,,18912,Oxford/AstraZeneca
Sweden,2020-12-27,451,,,Pfizer/BioNTech
Sweden,2020-12-28,,,688,Pfizer/BioNTech
Sweden,2020-12-29,,,688,Pfizer/BioNTech
Sweden,2020-12-30,,,688,Pfizer/BioNTech
Sweden,2020-12-31,,,688,Pfizer/BioNTech
Sweden,2021-01-01,,,688,Pfizer/BioNTech
Sweden,2021-01-02,,,688,Pfizer/BioNTech
Sweden,2021-01-03,5266,,688,Pfizer/BioNTech
Sweden,2021-01-04,,,1155,Pfizer/BioNTech
Sweden,2021-01-05,,,1621,Pfizer/BioNTech
Sweden,2021-01-06,,,2088,Pfizer/BioNTech
Sweden,2021-01-07,,,2555,Pfizer/BioNTech
Sweden,2021-01-08,,,3022,Pfizer/BioNTech
Sweden,2021-01-09,,,3489,Pfizer/BioNTech
Sweden,2021-01-10,32953,36,3955,Pfizer/BioNTech
Sweden,2021-01-11,,,4705,Pfizer/BioNTech
Sweden,2021-01-12,,,5454,Pfizer/BioNTech
Sweden,2021-01-13,,,6203,Pfizer/BioNTech
Sweden,2021-01-14,,,6953,Pfizer/BioNTech
Sweden,2021-01-15,,,7702,Pfizer/BioNTech
Sweden,2021-01-16,,,8451,Pfizer/BioNTech
Sweden,2021-01-17,97358,177,9201,Pfizer/BioNTech
Sweden,2021-01-18,,,9779,Pfizer/BioNTech
Sweden,2021-01-19,,,10357,Pfizer/BioNTech
Sweden,2021-01-20,,,10935,Pfizer/BioNTech
Sweden,2021-01-21,,,11514,Pfizer/BioNTech
Sweden,2021-01-22,,,12092,Pfizer/BioNTech
Sweden,2021-01-23,,,12670,Pfizer/BioNTech
Sweden,2021-01-24,190096,8437,13248,Pfizer/BioNTech
Sweden,2021-01-25,,,12799,Pfizer/BioNTech
Sweden,2021-01-26,,,12350,Pfizer/BioNTech
Sweden,2021-01-27,,,11901,Pfizer/BioNTech
Sweden,2021-01-28,230517,14248,11452,Pfizer/BioNTech
Sweden,2021-01-29,248991,18923,12199,Pfizer/BioNTech
Switzerland,2020-12-23,0,,,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-24,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-25,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-26,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-27,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-28,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-29,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-30,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2020-12-31,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-01,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-02,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-03,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-04,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-05,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-06,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-07,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-08,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-09,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-10,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-11,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-12,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-13,,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-14,66000,,3000,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-15,,,3829,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-16,,,4657,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-17,,,5486,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-18,,,6314,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-19,110000,,7143,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-20,,,10984,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-21,169783,,14826,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-22,,,14883,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-23,,,14939,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-24,197368,,14995,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-25,,,15587,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-26,,,16179,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-27,,,13758,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-28,,,11336,"Moderna, Pfizer/BioNTech"
Switzerland,2021-01-29,262081,,11872,"Moderna, Pfizer/BioNTech"
Turkey,2021-01-13,0,,,Sinovac
Turkey,2021-01-14,279452,,279452,Sinovac
Turkey,2021-01-15,616652,,308326,Sinovac
Turkey,2021-01-16,676903,,225634,Sinovac
Turkey,2021-01-17,706451,,176613,Sinovac
Turkey,2021-01-18,832412,,166482,Sinovac
Turkey,2021-01-19,950635,,158439,Sinovac
Turkey,2021-01-20,1052493,,150356,Sinovac
Turkey,2021-01-21,1120258,,120115,Sinovac
Turkey,2021-01-22,1202212,,83651,Sinovac
Turkey,2021-01-23,1226883,,78569,Sinovac
Turkey,2021-01-24,1244653,,76886,Sinovac
Turkey,2021-01-25,1302753,,67192,Sinovac
Turkey,2021-01-26,1410273,,65663,Sinovac
Turkey,2021-01-27,1522580,,67155,Sinovac
Turkey,2021-01-28,1697575,,82474,Sinovac
Turkey,2021-01-29,1928351,,103734,Sinovac
Turkey,2021-01-30,1960860,,104854,Sinovac
Turkey,2021-01-31,1986237,,105941,Sinovac
United Arab Emirates,2021-01-05,826301,,,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-06,,,30698,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-07,887697,,30698,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-08,941556,,38418,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-09,1020349,,48512,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-10,1086568,250000,52053,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-11,1167251,250000,56825,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-12,1275652,250000,64193,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-13,1394580,250000,76797,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-14,1527833,250000,91448,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-15,1665987,250000,103490,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-16,1797926,250000,111082,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-17,1882778,250000,113744,"Pfizer/BioNTech, Sinopharm"
United Arab Emirates,2021-01-18,1971521,250000,114896,"Pfizer/BioNTech, Sinopharm"
